Designator,Mid X,Mid Y,Layer,Rotation
C1,36.05, 8.65,Top,180.0
IC1,12.60,12.80,Top,180.0
IC2,20.60,12.20,Top,90.0
J1,44.05,25.00,Top,0.0
R1, 4.00, 9.00,Top,180.0
R2, 4.00,13.50,Top,0.0
R3, 4.00,17.50,Top,180.0
